地区,年度,房地产开发投资额(亿元),房地产施工面积(万平方米),商品房销售额(亿元),商品房销售面积(万平方米)
数据来源：国家统计局,2024,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
数据来源：国家统计局,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
昆明,2006,188.93,1568.76,913.3,913.3
昆明,2007,228.02,1884.1,928.82,928.82
昆明,2008,274.2,2177.29,585.92,585.92
昆明,2009,382.15,2877.58,853.27,853.27
昆明,2010,437.14,3513.74,1241.01,1241.01
昆明,2011,633.03,4443.6,1121.3,1121.3
昆明,2012,919.07,5885.0,1051.35,1051.35
昆明,2013,1291.71,7705.66,1211.2,1211.2
昆明,2014,1492.62,8772.72,1289.37,1289.37
昆明,2015,1451.31,9200.41,1305.03,1305.03
昆明,2016,1530.5,9518.45,1520.87,1520.87
昆明,2017,1683.33,10090.2,1827.25,1827.25
昆明,2018,1839.79,10293.44,1909.72,1909.72
昆明,2019,2096.25,12236.93,1916.23,1916.23
昆明,2020,2263.71,11359.07,1878.8,1878.8
昆明,2021,2149.06,12826.85,1297.56,1297.56
昆明,2022,1487.0,12051.99,822.5,822.5
昆明,2023,634.26,10361.0,749.49,749.49
昆明,2024,492.74,8558.41,639.02,639.02
昆明,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
杭州,2006,442.65,4548.46,761.76,761.76
杭州,2007,518.79,4775.62,1150.28,1150.28
杭州,2008,615.41,4987.39,775.02,775.02
杭州,2009,704.68,5140.8,1456.38,1456.38
杭州,2010,956.2,6227.05,988.34,988.34
杭州,2011,1201.51,7709.15,738.04,738.04
杭州,2012,1597.36,8288.95,1089.62,1089.62
杭州,2013,1853.28,9327.52,1139.13,1139.13
杭州,2014,2301.98,10506.53,1122.91,1122.91
杭州,2015,2472.6,11145.9,1482.17,1482.17
杭州,2016,2606.41,11567.82,2327.86,2327.86
杭州,2017,2734.2,11527.37,2054.11,2054.11
杭州,2018,3068.9,11755.16,1675.98,1675.98
杭州,2019,3396.75,12000.92,1513.62,1513.62
杭州,2020,3575.33,13315.09,1699.34,1699.34
杭州,2021,3628.33,13291.26,2236.25,2236.25
杭州,2022,3889.1,13281.27,1393.66,1393.66
杭州,2023,4400.69,14362.92,1447.34,1447.34
杭州,2024,4222.17,13399.9,1038.06,1038.06
杭州,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
武汉,2006,366.15,2876.92,960.88,960.88
武汉,2007,459.75,3195.41,1135.41,1135.41
武汉,2008,560.36,3798.3,732.07,732.07
武汉,2009,778.59,4487.38,1086.99,1086.99
武汉,2010,1017.4,5055.86,1211.71,1211.71
武汉,2011,1282.25,5994.11,1329.34,1329.34
武汉,2012,1574.86,6862.97,1576.11,1576.11
武汉,2013,1905.6,8545.13,1995.36,1995.36
武汉,2014,2353.63,10238.43,2273.16,2273.16
武汉,2015,2581.79,11062.52,2627.19,2627.19
武汉,2016,2517.44,11803.1,3255.66,3255.66
武汉,2017,2686.34,11912.98,3532.61,3532.61
武汉,2018,2780.01,11759.79,3646.94,3646.94
武汉,2019,2966.21,13556.46,3332.34,3332.34
武汉,2020,2777.15,15565.89,2646.37,2646.37
武汉,2021,3254.62,16251.62,2759.39,2759.39
武汉,2022,3366.79,15842.6,2122.34,2122.34
武汉,2023,3446.88,14456.27,1972.96,1972.96
武汉,2024,3332.08,14437.71,1998.3,1998.3
武汉,2025,1225.9328978978979,7185.677624060149,1218.4490075187969,1218.4490075187969
沈阳,2006,538.29,3455.96,1243.79,1243.79
沈阳,2007,730.36,5019.85,1462.04,1462.04
沈阳,2008,1010.91,5848.51,1465.05,1465.05
沈阳,2009,1188.7,6847.89,1532.93,1532.93
沈阳,2010,1450.08,8851.45,1746.52,1746.52
沈阳,2011,1684.72,10201.28,2165.17,2165.17
沈阳,2012,1942.96,11002.63,2469.65,2469.65
沈阳,2013,2184.01,11568.29,2262.33,2262.33
沈阳,2014,1975.82,11495.78,1498.4,1498.4
沈阳,2015,1337.66,8341.31,1065.06,1065.06
沈阳,2016,709.67,7058.07,1184.32,1184.32
沈阳,2017,814.24,6967.08,1300.24,1300.24
沈阳,2018,996.72,6525.79,1354.82,1354.82
沈阳,2019,1174.8,6626.56,1453.53,1453.53
沈阳,2020,1235.89,7111.84,1381.32,1381.32
沈阳,2021,1222.61,8120.52,1092.7,1092.7
沈阳,2022,940.31,6901.03,648.89,648.89
